"Умер детский писатель Владислав Крапивин, ему был 81 год  ",2020-09-01T08:47:00
"В российском даркнете выложены данные миллионов американских избирателей. Архивы, распространяемые пользователем с ником Gorka9, обнаружил «Коммерсант». Среди других раздач пользователя — персональные данные 62 тысяч пациентов Бруклинского центра хирургии Нью-Йорка  ",2020-09-01T09:29:18
"Суд арестовал акции «Башкирской содовой компании» — прокуратура потребовала это сделать в качестве обеспечительной меры по делу о незаконной приватизации. После проверки, проведенной по поручению Путина, там заявили, что доля государства в компании была сокращена незаконно и «помимо воли Российской Федерации»  ",2020-09-01T10:01:58
Bloomberg оценил состояние Илона Маска в 115 миллиардов долларов. Теперь в списке самых богатых людей мира по версии издания он занимает третье место после Джеффа Безоса и Билла Гейтса  ,2020-09-01T10:22:22
"Сын Виктора Цоя Александр написал письмо Путину из-за фильма Алексея Учителя. Его новую картину «Цой» он называет «пошлым зрелищем» и вульгарным источником дохода, который нарушает права наследников музыканта, и просит президента «безотлагательно организовать проверку» и «принять надлежащие меры».   Отец Виктора Цоя Роберт сказал, что к обращению отношения не имеет, и дал Учителю одобрение на создание фильма. Будет ли его смотреть, он пока не решил   ",2020-09-01T10:38:53
"Число выявленных случаев COVID-19 в России превысило миллион. За время эпидемии от инфекции умерли 17,3 тысячи человек  ",2020-09-01T10:56:02
"В Красноярске суд разрешил принудительно госпитализировать 14-летнюю школьницу из-за подписки на паблик ВК о «Колумбайне». Несколько дней назад к ней домой пришли сотрудники ФСБ; под их давлением, по словам адвоката «Агоры», мать девочки согласилась на госпитализацию. Позже она решила отказаться, но медики отказались отпускать подростка домой  ",2020-09-01T11:26:36
"В Минске студенты вышли на протестную акцию. Главу МВД Владимира Макея, который приехал в Минский государственный лингвистический институт, встретили у здания с плакатами и петицией за честные выборы. Он и ректор отказались ее подписать.   Девушку, которая собирала подписи под аналогичной петицией у Белорусского национального технического университета, задержали. ОМОН и милиция разгоняют марш на площади Победы, участников шествия задерживают     Фото: Студенческая инициативная группа",2020-09-01T12:13:49
"Беларусь направила России заявку на рефинансирование госдолга сроком на 15 лет. По словам источника «Интерфакса», речь идет о 600 миллионах долларов   ",2020-09-01T13:03:06
"Сергей Лавров заявил, что обвинения в отказе расследовать госпитализацию Алексея Навального — это «неправда»: «Начиная с того же дня, когда все это произошло, наше министерство внутренних дел запустило доследственную проверку, а следствие может начаться, когда будет установлено, что произошло».  Он добавил, что к немецкой клинике, где сейчас находится Навальный, «никто требований не выдвигает», хотя она «тоже никакой информации не дает»  ",2020-09-01T13:40:15
"Создатель «Красной кнопки» для помощи задержанным на митингах Александр Литреев уехал из России в Эстонию. По его словам, последние два года за ним следили сотрудники Центра «Э»   ",2020-09-01T14:06:53
"Оле Тыкве – 14 лет. В TikTok она снимает ролики о феминизме и ЛГБТ, и один из них («Привет, я подсяду?») принес ей много подписчиков и еще больше хейта. Сначала это были просто оскорбительные картинки, потом – прямые угрозы и слитые адреса.  «Женщины сверху» встретились и поговорили с Олей о ее жизни, активизме и травле со стороны «Мужского государства»  ",2020-09-01T14:46:00
О главных новостях расскажем в программе «Здесь и сейчас». Включайте на YouTube: ,2020-09-01T15:01:31
"Штаб Виктора Бабарико объявил о создании партии «Вместе» и объявил, что одна из основных ее целей – проведение конституционной реформы. Тихановская не согласна   ",2020-09-01T15:38:57
В Перми местного жителя приговорили к 200 часам обязательных работ за публикацию фотографии генерала Андрея Власова на сайте акции «Бессмертный полк онлайн». Его компьютер конфисковали в пользу государства   ,2020-09-01T16:24:37
"В Минске силовики начали задерживать участников акции протеста, которую устроили студенты белорусских университетов  ",2020-09-01T16:37:16
Около «Динамо» людей начали задерживать прямо из толпы,2020-09-01T16:40:20
"Завтра Апелляционный военный суд в подмосковном городе Власиха рассмотрит жалобы на приговоры по делу «Сети». В феврале семерым фигурантам дали сроки от 6 до 18 лет колонии.   В канун  апелляции журналисты «7х7» перечитали приговор и разобрали его по ключевым моментам, выделив в каждом позицию обвинения, позицию защиты и итоговый вердикт суда. Как суд учитывал все доводы и на чем основывался, давая фигурантам сроки, — читайте в их путеводителе: ",2020-09-01T16:44:59
"Юристы ФБК подали жалобу в суд на бездействие СК из-за отравления Навального. Ранее они подали заявление в СК с требованием возбудить уголовное дело по статьям о покушении на убийство и посягательстве на жизнь общественного деятеля, но ответа так и не получили  ",2020-09-01T17:02:03
"Экспертам ООН по правам человека известно о 450 задокументированных случаях пыток и жестокого обращения с задержанными во время акций протестов, начавшихся в Беларуси после президентских выборов.   ООН призвала Беларусь привлечь к ответственности силовиков, которые «безнаказанно унижали и избивали демонстрантов в местах содержания под стражей», и «обеспечить компенсацию жертвам и их семьям»  ",2020-09-01T18:03:32
"Польша открыла свои границы для авиасообщения с Россией. Теперь список международных направлений для россиян расширился до семи. Кроме того, Россия и Беларусь ведут переговоры о снятии запрета на перелеты  ",2020-09-01T18:28:01
"Французский сатирический журнал Charlie Hebdo снова опубликовал карикатуры на пророка Мухаммеда. Напомним, за подобные карикатуры в 2015 году террористы напали на редакцию издания, погибло 12 сотрудников  ",2020-09-01T19:11:14
Тихон Дзядко через пару минут расскажет о последних новостях. Прямая трансляция в YouTube тут: ,2020-09-01T19:57:26
"По подозрению в планировании «грубых нарушений общественного порядка» в Беларуси в июле задержали политтехнолога Виталия Шклярова. Он до сих пор находится в одном из минских СИЗО и когда его выпустят пока неизвестно. Дождь публикует его рассказ из изолятора, который передал редакции адвокат Антон Гашинский  ",2020-09-01T20:47:06
"В Минске рядом с ТЦ «Рига» нашли мертвым работника Минского завода шестерен Александра Будницкого. Сосед Будницкого сообщил, что 11 августа мужчина мог пойти посмотреть на акцию протеста против итогов выборов президента, с тех пор его не видели  ",2020-09-01T21:24:11
Умер народный артист России Борис Клюев. Об этом сообщили ТАСС в Малом театре. Ему было 76 лет  ,2020-09-01T21:56:42
Рамзан Кадыров назначил на должность первого заместителя министра культуры Чечни свою 21-летнюю дочь Айшат. Кадыров отметил ее вклад в развитие Чеченской государственной филармонии и пожелал ей успехов на должности  ,2020-09-01T22:17:13
Глава МИД Сергей Лавров высказался по поводу отравления Алексея Навального,2020-09-01T22:29:02
"В Красноярске 24 августа сотрудники ФСБ пришли с обыском домой к 14-летней Алене Прокудиной, а спустя неделю суд разрешил принудительно госпитализировать ее в психоневрологический диспансер.  Все это случилось из-за подписки на паблик про массовое убийство в американской школе «Колумбайн». Сама девочка утверждает, что была подписана на группу из любопытства и не делала ничего противозаконного. Местные СМИ сообщали, что по такой же причине в психдиспансере могут находиться еще как минимум восемь детей.  О том, как проходил обыск, как было принято решение суда и о том самом паблике — в материале Анны Благой  ",2020-09-01T22:53:31
В США нашли мертвым автора песни I Like To Move It Эрика Морилло.  Причину смерти в полиции пока не сообщили. Музыканту было 49 лет  ,2020-09-01T23:40:26
"Греция откроет границы для граждан России с 7 по 21 сентября, въезд будет разрешен только для 500 человек в неделю  ",2020-09-02T08:40:42
Более 140 журналистов и политических деятелей подписали личные поручительства за Ивана Сафронова. 2 сентября суд рассмотрит ходатайство следствия о продлении его ареста  ,2020-09-02T09:07:29
"Мария Колесникова и другие члены штаба экс-кандидата в президенты Беларуси Виктора Бабарико заявили о создании партии «Вместе». Их обращение уже прокомментировала Светлана Тихановская, не согласившись с целями партии, некоторые сторонники объединенного штаба также раскритиковали заявление. Поговорили об этом с самой Колесниковой  ",2020-09-02T10:04:46
"Специально для «Женщин сверху» профеминисты рассказали о том, каково быть поддерживающим феминизм мужчиной в России. Гостями программы стали ютуб-блогер Майкл Наки, спецкорреспондент Wonderzine Антон Данилов и фотограф Георгий Малец, «Тот самый Мартин»  ",2020-09-02T10:24:51
В России за последние сутки выявили 4952 новых случая коронавируса. Общее число заболевших составляет один 1 005 000 человек  ,2020-09-02T10:42:14
"Бывший бизнес-партнер Сергея Фургала Николай Мистрюков признал вину и заключил сделку со следствием. Он заявил, что Фургал был организатором убийства и покушения на двух хабаровских бизнесменов Олега Булатова и Александра Смольского  ",2020-09-02T10:50:14
"Власти российских регионов рекомендовали провести школьные уроки на свежем воздухе или объявить каникулы на время проведения выборов с 11 по 13 сентября.   Напомним, в этом году региональные выборы впервые пройдут в формате трехдневного голосования  ",2020-09-02T11:05:03
"Facebook и Twitter удалили 20 аккаунтов и страниц, которые связаны с российским Агентством интернет-исследований, известным как «фабрика троллей». В компаниях отметили, что сотрудничали с ФБР в этом вопросе  ",2020-09-02T11:20:05
"Предпродажи билетов в России на фильм «Довод» Кристофера Нолана составили более 11 миллионов рублей и превысили общие сборы кинотеатров за июнь. Ожидается, что по итогам проката фильм соберет более 500 миллионов рублей  ",2020-09-02T11:44:59
"В минскую IT-компанию PandaDoc пришли с обысками. Ранее один из основателей компании Микита Микадо предлагал силовикам финансовую помощь, если они уволятся и «перейдут на сторону добра»  ",2020-09-02T11:59:46
"МВД по Кабардино‑Балкарии прекратило уголовное дело против 85-летнего Николая Захарченко, который покончил с собой после того, как его обвинили в хранении наркотиков. Ранее в ходе обысков у пенсионера нашли куст конопли  ",2020-09-02T12:19:10
❗️Суд продлил арест журналиста Ивана Сафронова на три месяца  Фото: Марфа Смирнова / Дождь  ,2020-09-02T12:28:14
Скриншот из сториз Микиты Микадо,2020-09-02T12:37:42
«зачем кокаин? ведь есть этот воздух»  Бывший помощник президента России Владислав Сурков написал стихи об одиночестве и свободе. Произведение опубликовал журнал «Русский пионер»  ,2020-09-02T12:43:22
"«Наша вакцина самая лучшая»  Владимир Жириновский опробовал российский препарат от коронавируса, видео с процессом выложили в инстаграм партии ЛДПР  ",2020-09-02T13:08:10
"Микита Микадо рассказал , что сотрудников компании не выпускают из офиса, им запретили пользоваться телефонами, силовики «все осматривают», требуют, чтобы разблокировали компьютеры, иначе заберут». В Комитете государственного контроля Беларуси отказались комментировать изданию эту информацию.  Домой к топ-менеджеру PandaDoc Виктору Кувшинову пришли четыре человека в штатском, сообщила  его жена. В настоящее время он не выходит на связь, а из дома пропал его компьютер",2020-09-02T13:29:13
"Глава МИД России Сергей Лавров заявил, что в Беларуси находятся около 200 «натренированных украинских экстремистов», которых направили в страну, чтобы «мирные протесты сорвались в конфронтационную спираль». Лавров даже назвал конкретные структуры  ",2020-09-02T13:54:59
"Бывший министр культуры Беларуси и член президиума Координационного совета оппозиции Павел Латушко уехал в Польшу, он планирует вернуться через несколько дней. Латушко подчеркнул, что об эмиграции речь не идет  ",2020-09-02T14:17:02
"Программа «Женщины сверху» делает репортаж о домогательствах в летних лагерях. Знаем, что тема болезненная и слишком распространённая, чтобы о ней молчать. Если вам есть, что нам рассказать, пишите на почту milushkova@tvrain.ru",2020-09-02T14:29:51
"Шихан Куштау в Башкирии признали особо охраняемой природной территорией регионального значения. Ранее гору хотела разрабатывать «Башкирская содовая компания», но местные жители выступили против  ",2020-09-02T14:46:02
"Возле Октябрьского РУВД в Минске, где сейчас находятся задержанные на вчерашней акции студентов журналисты, собрались работники СМИ, чтобы поддержать коллег  Фото: Маша Борзунова / Дождь",2020-09-02T14:49:51
"Павел Лобков с последними новостями в прямом эфире программы «Здесь и сейчас», присоединяйтесь: ",2020-09-02T15:01:46
"Жена телеведущего Сергея Брилева получила гражданство Великобритании. Запись об этом появилась 2 июля на странице компании IBBA PRODUCTIONS LTD, где Брилева указана руководителем  ",2020-09-02T15:47:31
"Google выплатил 1,5 миллиона рублей штрафа за нарушение фильтрации запрещенного контента. Это уже третий штраф для компании в России   ",2020-09-02T16:19:37
"СК предъявил экс-губернатору Хабаровского края Сергею Фургалу обвинение в организации убийства предпринимателя Евгения Зори в 2004 году. Адвокат Фургала Борис Кожемякин пока не смог подтвердить или опровергнуть эту информацию, так как это относится к тайне следствия   ",2020-09-02T16:26:19
⚡️Бундесвер заявил об обнаружении в организме Навального следов яда из группы «Новичок»  ,2020-09-02T16:44:59
"Следствие ужесточило обвинение пятерым бывшим полицейским, которых обвиняют в фальсификации доказательств против Ивана Голунова. Им добавили статью о совершении преступления организованной группой  ",2020-09-02T17:04:47
"Сегодня на встрече с главой белорусского МИДа Сергей Лавров заявил, что протесты против Лукашенко «направленны на дестабилизацию обстановки в Беларуси». Почему Кремль все же поддержал Лукашенко, как российские политтехнологи будут переизобретать его образ и чего это будет стоить России — рассказал главред сайта  Александр Баунов  ",2020-09-02T17:12:38
